Country	Year	TradeUsd
United Kingdom	2004	951484451626
United Kingdom	2005	1025281737953
United Kingdom	2006	1194452253434
United Kingdom	2007	1277211412997
United Kingdom	2008	1346918729201
United Kingdom	2009	1112694276200
United Kingdom	2010	1207707123372
United Kingdom	2011	1433692365591
United Kingdom	2012	1367064971258
United Kingdom	2013	1340458796526
United Kingdom	2014	1351061632505
United Kingdom	2015	1217648409639
Canada	2004	1035711122422
Canada	2005	1183289098477
Canada	2006	1293067903085
Canada	2007	1406236070925
Canada	2008	1521826201541
Canada	2009	1117100450489
Canada	2010	1371069273447
Canada	2011	1593012736819
Canada	2012	1572692177486
Canada	2013	1582047468027
Canada	2014	1667613724676
Canada	2015	1472419676044
Belgium	2004	1104727573695
Belgium	2005	1222885038684
Belgium	2006	1348195609665
Belgium	2007	1579847976278
Belgium	2008	1756007030604
Belgium	2009	1361049710434
Belgium	2010	1502595529446
Belgium	2011	1772458774707
Belgium	2012	1667935970635
Belgium	2013	1891446967703
Belgium	2014	1748187690589
Belgium	2015	1450039919841
China Hong Kong SAR	2004	1041263757918
China Hong Kong SAR	2005	1125802179896
China Hong Kong SAR	2006	1240483078778
China Hong Kong SAR	2007	1357463287479
China Hong Kong SAR	2008	1452477753320
China Hong Kong SAR	2009	1286500106072
China Hong Kong SAR	2010	1572930474407
China Hong Kong SAR	2011	1853112811841
China Hong Kong SAR	2012	2023259907616
China Hong Kong SAR	2013	2284106194416
China Hong Kong SAR	2014	2159097617962
China Hong Kong SAR	2015	2033287794834
France	2004	1197155995731
France	2005	1298149066435
France	2006	1451054495788
France	2007	1654522649405
France	2008	1888636905434
France	2009	1483135189073
France	2010	1647252003452
France	2011	1941546930513
France	2012	1852381536953
France	2013	1886161439529
France	2014	1848817261051
France	2015	1580470085128
Japan	2004	1287236261010
Japan	2005	1427314190029
Japan	2006	1596141003646
Japan	2007	1748992914140
Japan	2008	2091708745806
Japan	2009	1517985408130
Japan	2010	1949095164327
Japan	2011	2280011589807
Japan	2012	2297717896661
Japan	2013	2118516770326
Japan	2014	2044511576698
Japan	2015	1636252115718
Germany	2004	2206844465000
Germany	2005	2345314288000
Germany	2006	2762213913000
Germany	2007	3269576075000
Germany	2008	3707614472000
Germany	2009	2906743905000
Germany	2010	3257178205207
Germany	2011	3782541364649
Germany	2012	3554092083789
Germany	2013	3649346124734
Germany	2014	3729934619559
Germany	2015	3261980771342
USA	2004	2669207269882
USA	2005	2995673193561
USA	2006	3363363668732
USA	2007	3639915795151
USA	2008	3953130113653
USA	2009	3096397500695
USA	2010	3752235228486
USA	2011	4317009005988
USA	2012	4496013014361
USA	2013	4564768050335
USA	2014	4738292500339
USA	2015	4528931562154
China	2004	1615008655463
China	2005	1991766826973
China	2006	2470217990013
China	2007	3053142117158
China	2008	3655984153736
China	2009	3151739019226
China	2010	4295831622842
China	2011	5365289750950
China	2012	5733060765268
China	2013	6164948591866
China	2014	6378392617952
China	2015	5764814187397
EU-28	2004	3688878032267
EU-28	2005	4260131329882
EU-28	2006	4932786108740
EU-28	2007	5634748073693
EU-28	2008	6329492476719
EU-28	2009	5098307101675
EU-28	2010	5746809084292
EU-28	2011	7161196100465
EU-28	2012	7085094227127
EU-28	2013	6979514798367
EU-28	2014	7032377930257
EU-28	2015	5974659791592